Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
CON20HDR-RA-01 (N2520-5002RB),Socket; IDC; male; PIN: 20; angled 90°; THT; gold-plated; 2A; 2.54mm,,3M,N2520-5002RB,shelf3,104,https://PARTSBOX.COM/I82505VAH7MKQCAYNG9H2C1T5YA,,1
NCABLE-CW550-FANASSM,,,,,,0,https://PARTSBOX.COM/I14JEPJMREAHC1BDMNXWBZH0Y1S,,2
APHBM2012SURKCGKC,Red/Green 2 x 1.25 x 0.45 mm 120º Water Clear 250/55 mcd 1.95/2.1 V Chip LED SMT,,Kingbright,APHBM2012SURKCGKC,,0,https://PARTSBOX.COM/I2MZ5BVMRVYJ4PB41N1EY955168,,3
NLABEL-CWHUSKY BOTTOM (REV 1.1 B),CWHUSKY LABEL rev. 1.1B,,,,packaging area,26,https://PARTSBOX.COM/I1FACBD5N6YGQ08MJG7AYGS2E1D,,4
"KAPTON-TAPE-1/4""","1/4"" WIDE",,,,MECHANICAL AREA,1,https://PARTSBOX.COM/I6VWDG3PTRPKR58YC345HMJF673,,1
8726K63,PINK FOAM (THICKER(12X12X1),,,8726K63,,0,https://PARTSBOX.COM/I4A6N32J070H1Q9Q0X549N9GMJ3,,1
EA E-60NC (643OA27),"Known as LOCTITE E-60NC Hysol Epoxy Structural Adhesive, Electrically Non-Corrosive (HENKEL BRAND)",,McMaster Carr,643OA27,MECHANICAL AREA,3,https://PARTSBOX.COM/I2QSTQFM6ZRH76BBZQJQMBRECZN,,1
AT90USB162-16AU,AT90 Series 16 MHz 16 KB Flash 512 B SRAM 8-Bit Microcontroller - TQFP-32,TQFP32,Microchip,AT90USB162-16AU,PROTO,10,https://PARTSBOX.COM/I5RJCTC87N4HAABSDRBT6ZNVRQK,,1
BG306-02-A-2-0400-L-G,White Lite Series 2 Position 2.54 mm SMT Vertical Socket,,Global Connector Technology,BG306-02-A-2-0400-L-G,Office 9,9,https://PARTSBOX.COM/I8AHHJ6NR8WKMFBJ1BEC5WEQGHF,,1
NAE-CW506-02 (TESTED) (KITTED),Advanced Breakout Board +20 PIN CABLE & NCABLE-CW20PIN-BREAKOUT (TESTED),,,,,0,https://PARTSBOX.COM/I40VAQSZH0GKF9878K4E4Q57N4P,,1
NPCB-NRF52840-04,NRF52840 REV.4 PCB,,,,PROTO,11,https://PARTSBOX.COM/I5MAASD0MAPGT2AY9PPEE5WXPCD,,2
RCHIP-27R-0603 (RC0603FR-0727RL),Res Thick Film 1.6 x 0.8 mm 27 Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-0727RL,Office 9,3616,https://PARTSBOX.COM/I9CE3ABWWS0HTSA7WBAJMM9RGY3,,3
30-01518,CBL 9COND 22AWG SHLD 5M MPPE,,Tensility,30-01518,,0,https://PARTSBOX.COM/IDRX8C2NFFMHHH935BE2ZX0MW6R,,4
CW571-CSMOUNT-01-PARTS,"ChipShover Mount - Assembled from Individual Pieces Version (parts, 3 parts per unit)",,,,packaging area,25,https://PARTSBOX.COM/I6DP9F5KW08KEGA2DPMEFM2EYGC,,5
RCHIP-40R2-0402 (RC0402FR-0740R2L),Res Thick Film 0402 40.2 Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R,,Yageo,RC0402FR-0740R2L,Office 9,10000,https://PARTSBOX.COM/I06G7VA5PA8JKQAP7ZFMH5VGHYH,,5
LM75BIMM-5/NOPB,"±2°C, 3.0V to 5.5V industry standard temperature sensor with I2C/SMBus interface 8-VSSOP -55 to 125",,Texas Instruments,LM75BIMM-5/NOPB,shelf3,10,https://PARTSBOX.COM/IDQN1ZFSGGWJJY9W0ZTM6ZBK800,,6
